ItemName,Time,Comment,Score,Assess
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,一直在喝他家的奶粉，孩子喝的也习惯，相信京东自营,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,多买一点，价格便宜，应该不错,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,非常不错！宝宝一直用的，宝宝断奶早，一直喝这个牌子这个系列的奶粉，没有什么不好的反应，长的壮壮的。,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,已经是多次购买了，宝宝现在九个月身体很棒,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,与前面买的一样，外面看起来一样，过几天开封再评吧,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,我家宝宝吃这个不错！奶粉也好泡，不会起坨，量多！哈哈！,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,很好，一直在买了给宝宝喝。宝宝很喜欢喝这个,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,很好，宝宝非常喜欢喝很好，很好。一直在买！,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,货已经收到，质量希望越做越好！物流速度还可以！,4,中评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,今天下单今天到，速度超快，快递小哥也特别给力，正品，好评。,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,很满意很喜欢，我家宝宝已经喝了一年多了，一直信赖！,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,产品已收到了 感谢老板和快递热情与速度,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,一直喝着呢，再买个2段就该喝3段了,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,挺好的，宝宝还可以习惯喝，五星好评吧,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,奶粉很好，是正品，不错，宝宝很喜欢喝，很不错。,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,相信京东商城，非常满意！,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,宝宝一直喝这款奶，服务态度非常好，满意！,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,好，已经第6次购买了,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,一直喝这个，感觉还不错,5,好评
贝因美(Beingmate) 菁爱（原金装爱+） 较大婴儿配方奶粉 2段(6-12个月较大婴儿适用) 1000克 新老包装随机发货,2018-01-28,一次性买了两罐，比较优惠，物流超快。好评,5,好评
